date,tag,team,kind,market,open_ml,close_ml,clv_pts,won,profit_1u,slip_id,slip_odds,slip_result,joint_prob,correlation,line,edge_pct,home,away,pick,pitcher,home_pitcher,away_pitcher,odds,model_prob,edge,qualifies,timestamp,kelly_stake_pct,abbr_home,abbr_away,abbr_pick,c_team_edge,c_pitcher_fip_edge,c_pitcher_era_edge,c_pitcher_whip_edge,c_pitcher_k9_edge,c_offense_edge,c_bullpen_edge,c_season_form_edge,c_h2h_edge,c_weather_edge,c_rest_edge,c_lineup_edge,c_injury_edge,c_fatigue_edge,slip_leg_num,slip_leg_count
2026-06-18,me,Braxton Ashcraft,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (+134) #5,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,George Kirby,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (-104) #6,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Seattle Mariners,team,Moneyline,,,,0,,2 Pick SGP (-104) #6,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,New York Mets,team,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,New York Yankees,team,,,,,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Milwaukee Brewers,team,,,,,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Seattle Mariners,team,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,NY Mets,other,,,,,,,2 Pick SGP (+140) #2,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,6+,other,,,,,,,2 Pick SGP (+140) #2,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,MIA Marlins,other,,,,,,,2 Pick SGP (+208) #3,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,5+,other,,,,,,,2 Pick SGP (+208) #3,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,3+,other,,,,,,,2 Pick SGP (+184) #4,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Over 10.5,other,,,,,,,2 Pick SGP (+184) #4,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,BOS Red Sox,other,,,,,,,2 Pick SGP (+246) #5,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,4+,other,,,,,,,2 Pick SGP (+246) #5,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,NY Yankees,other,,,,,,,2 Pick SGP (+188) #6,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,7+,other,,,,,,,2 Pick SGP (+188) #6,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,3+,other,,,,,,,2 Pick SGP (-104) #7,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,ATL Braves,other,,,,,,,2 Pick SGP (-104) #7,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,6+,other,,,,,,,2 Pick SGP (+160) #8,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,CLE Guardians,other,,,,,,,2 Pick SGP (+160) #8,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,PIT Pirates,other,,,,,,,2 Pick SGP (+136) #9,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,5+,other,,,,,,,2 Pick SGP (+136) #9,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,SEA Mariners,other,,,,,,,2 Pick SGP (-104) #10,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,5+,other,,,,,,,2 Pick SGP (-104) #10,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,LA Dodgers,team,Moneyline,-181.0,,,1,0.552,20 Pick Parlay (+1153091) #1,1153091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,CHI Cubs,team,Moneyline,-193.0,,,1,0.518,20 Pick Parlay (+1153091) #1,1153091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,New York Mets,team,Moneyline,,,,1,,2 Pick SGP (+140) #2,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Nolan McLean,prop,6+ Strikeouts Thrown,,,,1,,2 Pick SGP (+140) #2,140.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,MIA Marlins,team,Moneyline,,,,1,,2 Pick SGP (+208) #3,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Sandy Alcantara,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (+208) #3,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Zack Littell,prop,3+ Strikeouts Thrown,,,,0,,2 Pick SGP (+184) #4,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Total,total,Over 10.5,,,,0,,2 Pick SGP (+184) #4,184.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Boston Red Sox,team,Moneyline,,,,0,,2 Pick SGP (+246) #5,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Jake Bennett,prop,4+ Strikeouts Thrown,,,,1,,2 Pick SGP (+246) #5,246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,New York Yankees,team,Moneyline,,,,1,,2 Pick SGP (+188) #6,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Carlos Rodon,prop,7+ Strikeouts Thrown,,,,1,,2 Pick SGP (+188) #6,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,JR Ritchie,prop,3+ Strikeouts Thrown,,,,1,,2 Pick SGP (-104) #7,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Atlanta Braves,team,Moneyline,,,,0,,2 Pick SGP (-104) #7,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Gavin Williams,prop,6+ Strikeouts Thrown,,,,0,,2 Pick SGP (+160) #8,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Cleveland Guardians,team,Moneyline,,,,0,,2 Pick SGP (+160) #8,160.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,PIT Pirates,team,Moneyline,,,,1,,2 Pick SGP (+136) #9,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Braxton Ashcraft,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (+136) #9,136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Seattle Mariners,team,Moneyline,,,,0,,2 Pick SGP (-104) #10,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,George Kirby,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (-104) #10,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,LA Dodgers,team,Moneyline,-181.0,,,1,0.552,20 Pick Parlay (+1147994) #1,1147994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,CHI Cubs,team,Moneyline,-193.0,,,1,0.518,20 Pick Parlay (+1147994) #1,1147994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Jake Bennett,prop,4+ Strikeouts Thrown,130.0,,,1,1.3,20 Pick Parlay (+1147994) #1,1147994.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,New York Mets,team,Moneyline,,,,1,,2 Pick SGP (+138) #2,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Nolan McLean,prop,6+ Strikeouts Thrown,,,,1,,2 Pick SGP (+138) #2,138.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,MIA Marlins,team,Moneyline,,,,1,,2 Pick SGP (+200) #3,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Sandy Alcantara,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (+200) #3,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,WAS Nationals,team,Moneyline,,,,0,,3 Pick SGP (+345) #4,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Zack Littell,prop,3+ Strikeouts Thrown,,,,0,,3 Pick SGP (+345) #4,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Total,total,Over 10.5,,,,0,,3 Pick SGP (+345) #4,345.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,New York Yankees,team,Moneyline,,,,1,,2 Pick SGP (+188) #5,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Carlos Rodon,prop,7+ Strikeouts Thrown,,,,1,,2 Pick SGP (+188) #5,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,JR Ritchie,prop,3+ Strikeouts Thrown,,,,1,,2 Pick SGP (-104) #6,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Atlanta Braves,team,Moneyline,,,,0,,2 Pick SGP (-104) #6,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Gavin Williams,prop,6+ Strikeouts Thrown,,,,0,,2 Pick SGP (+164) #7,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Milwaukee Brewers,team,Moneyline,,,,1,,2 Pick SGP (+164) #7,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,PIT Pirates,team,Moneyline,,,,1,,2 Pick SGP (+130) #8,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Braxton Ashcraft,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (+130) #8,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Seattle Mariners,team,Moneyline,,,,0,,2 Pick SGP (-104) #9,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,George Kirby,prop,5+ Strikeouts Thrown,,,,1,,2 Pick SGP (-104) #9,-104.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,LA Dodgers,team,Moneyline,-181.0,,,,,20 Pick Parlay (+931368) #1,931368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,CHI Cubs,team,Moneyline,-193.0,,,,,20 Pick Parlay (+931368) #1,931368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Gavin Williams,prop,6+ Strikeouts Thrown,-234.0,,,,,20 Pick Parlay (+931368) #1,931368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,MIA Marlins,team,Moneyline,,,,,,2 Pick SGP (+186) #3,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-06-18,me,Sandy Alcantara,prop,5+ Strikeouts Thrown,,,,,,2 Pick SGP (+186) #3,186.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
